map, vertices, edges, cpp, cython_bfs, cython_full, kotlin, kotlin_jit, kotlin_jit_5, python, python3
randomSparse.txt, 86, 123, 0.22, 0.58, 0.21, 8.76, 0.43, 2.85, 4.55, 5.75
randomMedium.txt, 97, 187, 0.32, 0.74, 0.31, 11.00, 0.68, 3.33, 6.39, 8.82
tube.txt, 301, 386, 2.33, 7.11, 2.43, 50.29, 4.11, 5.67, 60.05, 75.82
boston-sparse.txt, 488, 945, 7.30, 19.93, 7.83, 122.80, 12.06, 13.92, 177.22, 202.83
edinburgh-sparse.txt, 961, 1751, 29.96, 88.45, 34.49, 121.88, 50.03, 72.50, 661.14, 832.59
oxford-center-sparse.txt, 1425, 2020, 64.28, 199.43, 68.62, 177.21, 105.51, 133.11, 1313.22, 1668.62
nara-sparse.txt, 1560, 2197, 71.19, 231.25, 78.98, 207.64, 132.19, 166.21, 1637.94, 2016.11
gothenburg-sparse.txt, 1175, 2234, 40.59, 138.84, 47.28, 180.21, 80.91, 99.14, 1007.33, 1255.02
icfp-coauthors-pj.txt, 892, 3425, 26.75, 77.93, 28.72, 276.07, 56.18, 75.77, 651.24, 900.94
van-city-sparse.txt, 1986, 3601, 126.01, 396.26, 141.63, 379.75, 253.26, 242.13, 2810.37, 3504.50
oxford2-sparse-2.txt, 2389, 3632, 171.25, 535.89, 196.72, 484.46, 346.37, 356.49, 3820.02, 4829.95
edinburgh-10000.txt, 7357, 10000, 1684.14, 5300.98, 1999.87, 10435.76, 3621.61, 3820.33, 39702.58, 48310.30
oxford-10000.txt, 6658, 10000, 1499.74, 4548.31, 1785.12, 3818.81, 3228.62, 3264.38, 31250.07, 39232.54
